NombreDeGrupo,ArticuloDelBalde,LargoDelBalde,AnchoDelBalde,AltoDelBalde,PesoDelBalde,CantidadDeBaldes,Ratio,TipoDeBalde,SequenceValue,StackValue,FlipStartLayer,MaxLayerOnNormalOrientation,MaxLayerOnFlipOrientation,CodigoArticuloDelCliente,Alias2,Color
931-1984979-BA,11094-LOMO FRESCO VACIO,595,395,112,5,3,0,1,0,0,0,0,0,872105,0,0
931-1984979-BA,11346-PANCETA C/CORTEZA VACIO,595,395,164,5,2,0,1,0,0,0,0,0,872555,0,0
932-1984979-BA,11799-SOLOMILLO VACIO GENERICO,395,297,151,5,58,0,2,0,0,0,0,0,19445,0,0
912-1984979-BA,11904-FILETE PANCETA NATUR BAND.,395,297,151,5,65,0,2,0,0,0,0,0,284398,0,0
911-1984979-BA,11917-COSTILLA TROZO C.E. BAND.,595,395,164,5,27,0,1,0,0,0,0,0,282027,0,0
911-1984979-BA,11936-ESTOFADO C.E. 750 GR. BAND.,595,395,112,5,15,0,1,0,0,0,0,0,276864,0,0
911-1984979-BA,11996-FILETE LOMO FINO 300 NATUR BAN,595,395,112,5,70,0,1,0,0,0,0,0,290753,0,0
911-1984979-BA,12071-LOMO EXTRAFINO 8/10 UN BAND.,595,395,112,5,204,0,1,0,0,0,0,0,261991,0,0
912-1984979-BA,12077-COSTILLA TROCEADA BAND.,395,297,151,5,109,0,2,0,0,0,0,0,36354,0,0
942-1984979-BA,12102-BURGUERMEAT VACUNO 400 GR.BAND,395,297,151,5,157,0,2,0,0,0,0,0,278160,0,0
942-1984979-BA,12103-BURGUERMEAT VACUNO 800 GR.C.E.,395,297,151,5,80,0,2,0,0,0,0,0,281647,0,0
932-1984979-BA,20209-LOMO TROZO VACIO,395,297,151,5,20,0,2,0,0,0,0,0,2321,0,0
912-1984979-BA,20236-CHULETA LOMO BASICO BAND.,395,297,151,5,149,0,2,0,0,0,0,0,2399,0,0
911-1984979-BA,20237-MANOS BAND.,595,395,112,5,3,0,1,0,0,0,0,0,61852,0,0
911-1984979-BA,20240-GALTA: CARRILLERAS CON HUESO B,595,395,112,5,6,0,1,0,0,0,0,0,61855,0,0
911-1984979-BA,20253-FILETE LOMO NATUR IND.400 BAND,595,395,164,5,24,0,1,0,0,0,0,0,284436,0,0
911-1984979-BA,20511-CARETAS DE CERDO BAND.,595,395,112,5,2,0,1,0,0,0,0,0,151001,0,0
972-1984979-BA,20514-LOMO IBERICO BAND.,395,297,151,5,7,0,2,0,0,0,0,0,293390,0,0
912-1984979-BA,20610-LOMO TROZO FILETEADO 1 KG. BAN,395,297,151,5,62,0,2,0,0,0,0,0,284349,0,0
951-1984979-BA,20672-LOMO ADOBADO 300 GR. SKIN,595,395,112,5,22,0,1,0,0,0,0,0,301246,0,0
951-1984979-BA,20673-LOMO ADOBADO SKIN 500 GR.,595,395,112,5,8,0,1,0,0,0,0,0,301247,0,0
951-1984979-BA,20674-LOMO AJILLO 300 GR. SKIN,595,395,112,5,5,0,1,0,0,0,0,0,282030,0,0
911-1984979-BA,20819-FILETE AGUJA NATUR 400 GR. BAN,595,395,164,5,8,0,1,0,0,0,0,0,311700,0,0
912-1984979-BA,21043-CHULETA AGUJA NATUR 450 GR. BA,395,297,151,5,32,0,2,0,0,0,0,0,311483,0,0
912-1984979-BA,21044-CHULETA LOMO NATUR 450 GR. BAN,395,297,151,5,15,0,2,0,0,0,0,0,311399,0,0
912-1984979-BA,21046-COSTILLA TROCEADA NATUR 450 GR,395,297,151,5,26,0,2,0,0,0,0,0,311400,0,0
911-1984979-BA,21140-LOMO LIBRITO BAND.,595,395,112,5,24,0,1,0,0,0,0,0,140136,0,0
932-1984979-BA,21257-SECRETO 1 UN. VACIO,395,297,151,5,8,0,2,0,0,0,0,0,282028,0,0
942-1984979-BA,40822-BURGUERMEAT MIXTA 400. BAND.,395,297,151,5,190,0,2,0,0,0,0,0,299836,0,0
942-1984979-BA,40823-BURGUERMEAT CERDO 400. BAND.,395,297,151,5,60,0,2,0,0,0,0,0,278162,0,0
942-1984979-BA,40836-BURGUERMEAT MIXTA 800 BAND.,395,297,151,5,96,0,2,0,0,0,0,0,281648,0,0
952-1984979-BA,41400-LOMO ADOBADO IBERICO 350. BAND,395,297,151,5,5,0,2,0,0,0,0,0,278214,0,0
972-1984979-BA,41406-PRESA IBERICA BAND.,395,297,151,5,3,0,2,0,0,0,0,0,281640,0,0
