NombreDeGrupo,ArticuloDelBalde,LargoDelBalde,AnchoDelBalde,AltoDelBalde,PesoDelBalde,CantidadDeBaldes,Ratio,TipoDeBalde,SequenceValue,StackValue,FlipStartLayer,MaxLayerOnNormalOrientation,MaxLayerOnFlipOrientation,CodigoArticuloDelCliente,Alias2,Color
312-1984769-DI,20831-FILETE DE PANCETA 560 GR. BAND,395,297,151,5,73,0,2,0,0,0,0,0,77103,0,0
332-1984769-DI,20835-SOLOMILLO VACIO,395,297,151,5,32,0,2,0,0,0,0,0,11077,0,0
332-1984769-DI,20836-CINTA LOMO TROZO VACIO,395,297,151,5,34,0,2,0,0,0,0,0,46810,0,0
352-1984769-DI,20842-ESCALOPIN LOMO ADOB. 300 GR. B,395,297,151,5,38,0,2,0,0,0,0,0,164337,0,0
312-1984769-DI,20849-FILETE DE AGUJA 400 GR. BAND.,395,297,151,5,18,0,2,0,0,0,0,0,173357,0,0
332-1984769-DI,20850-SOLOMILLO 2 UNIDADES VACIO,395,297,151,5,5,0,2,0,0,0,0,0,173212,0,0
332-1984769-DI,20871-AGUJA S/H VACIO,395,297,151,5,8,0,2,0,0,0,0,0,173964,0,0
331-1984769-DI,20973-COSTILLA SEMICARNUDA TIRA VACI,600,400,111,5,87,0,1,0,0,0,0,0,134262,0,0
311-1984769-DI,21070-CHULETA DE LOMO 600 GR. BAND.,600,400,111,5,82,0,1,0,0,0,0,0,166707,0,0
312-1984769-DI,21078-CARNE ESTOFADO CERDO 600 GR. B,395,297,151,5,43,0,2,0,0,0,0,0,77106,0,0
312-1984769-DI,21100-COSTILLA TROCEADA 560 GR. BAND,395,297,151,5,59,0,2,0,0,0,0,0,77082,0,0
312-1984769-DI,21101-LIBRITOS DE LOMO 400 GR. BAND.,395,297,151,5,24,0,2,0,0,0,0,0,103982,0,0
312-1984769-DI,21112-ESC. JAMON SIEMPRE TIERNOS 400,395,297,151,5,20,0,2,0,0,0,0,0,164338,0,0
311-1984769-DI,21124-CHULETA DE AGUJA 600 GR. BAND.,600,400,188,5,77,0,1,0,0,0,0,0,166708,0,0
312-1984769-DI,21267-CINTA DE LOMO 400 GR. BAND.,395,297,151,5,39,0,2,0,0,0,0,0,210871,0,0
352-1984769-DI,21277-LOMO SIEMPRE TIERNO 300 GR. BA,395,297,151,5,62,0,2,0,0,0,0,0,166223,0,0
