k,i,j,BaldesDelItemEnColumnaDelPalet,c
5,"731-1984517-AL","20936-SOLOMILLO AL VACIO",9,1
5,"731-1984517-AL","20936-SOLOMILLO AL VACIO",9,2
5,"731-1984517-AL","20936-SOLOMILLO AL VACIO",9,3
5,"731-1984517-AL","20936-SOLOMILLO AL VACIO",5,4
6,"731-1984517-AL","20936-SOLOMILLO AL VACIO",9,1
6,"731-1984517-AL","20936-SOLOMILLO AL VACIO",9,2
6,"731-1984517-AL","20933-JAMON 3D AL VACIO",9,3
6,"731-1984517-AL","20933-JAMON 3D AL VACIO",5,4
7,"731-1984517-AL","20942-PALETA 3D VACIO",8,1
7,"731-1984517-AL","20933-JAMON 3D AL VACIO",9,2
7,"731-1984517-AL","20942-PALETA 3D VACIO",6,3
7,"731-1984517-AL","20933-JAMON 3D AL VACIO",9,4
9,"731-1984517-AL","20936-SOLOMILLO AL VACIO",9,1
9,"731-1984517-AL","20933-JAMON 3D AL VACIO",5,2
9,"731-1984517-AL","20933-JAMON 3D AL VACIO",9,3
9,"731-1984517-AL","20933-JAMON 3D AL VACIO",4,4
9,"731-1984517-AL","20936-SOLOMILLO AL VACIO",5,4
12,"731-1984517-AL","20933-JAMON 3D AL VACIO",7,1
12,"731-1984517-AL","20942-PALETA 3D VACIO",2,1
12,"731-1984517-AL","20933-JAMON 3D AL VACIO",9,2
12,"731-1984517-AL","20933-JAMON 3D AL VACIO",9,3
12,"731-1984517-AL","20933-JAMON 3D AL VACIO",5,4
