k,i,j,BaldesDelItemEnColumnaDelPalet,c
6,"731-1984517-AL","20933-JAMON 3D AL VACIO",8,1
6,"731-1984517-AL","20933-JAMON 3D AL VACIO",8,2
6,"731-1984517-AL","20933-JAMON 3D AL VACIO",8,3
6,"731-1984517-AL","20933-JAMON 3D AL VACIO",8,4
9,"731-1984517-AL","20936-SOLOMILLO AL VACIO",8,1
9,"731-1984517-AL","20936-SOLOMILLO AL VACIO",8,2
9,"731-1984517-AL","20936-SOLOMILLO AL VACIO",8,3
9,"731-1984517-AL","20936-SOLOMILLO AL VACIO",8,4
61,"731-1984517-AL","20936-SOLOMILLO AL VACIO",8,1
61,"731-1984517-AL","20936-SOLOMILLO AL VACIO",8,2
61,"731-1984517-AL","20936-SOLOMILLO AL VACIO",8,3
61,"731-1984517-AL","20936-SOLOMILLO AL VACIO",8,4
63,"731-1984517-AL","20933-JAMON 3D AL VACIO",8,1
63,"731-1984517-AL","20933-JAMON 3D AL VACIO",8,2
63,"731-1984517-AL","20933-JAMON 3D AL VACIO",8,3
63,"731-1984517-AL","20933-JAMON 3D AL VACIO",8,4
96,"731-1984517-AL","20933-JAMON 3D AL VACIO",6,1
96,"731-1984517-AL","20942-PALETA 3D VACIO",2,1
96,"731-1984517-AL","20942-PALETA 3D VACIO",8,2
96,"731-1984517-AL","20933-JAMON 3D AL VACIO",2,3
96,"731-1984517-AL","20942-PALETA 3D VACIO",6,3
96,"731-1984517-AL","20933-JAMON 3D AL VACIO",8,4
