k;i;j;BaldesDelItemEnColumnaDelPalet;c
1;911-1984979-BA;12071-LOMO EXTRAFINO 8/10 UN BAND.;14;1
1;911-1984979-BA;20511-CARETAS DE CERDO BAND.;1;1
1;911-1984979-BA;21140-LOMO LIBRITO BAND.;1;1
1;911-1984979-BA;12071-LOMO EXTRAFINO 8/10 UN BAND.;1;3
2;932-1984979-BA;11799-SOLOMILLO VACIO GENERICO;12;1
2;932-1984979-BA;11799-SOLOMILLO VACIO GENERICO;5;2
2;932-1984979-BA;20209-LOMO TROZO VACIO;2;2
3;912-1984979-BA;12077-COSTILLA TROCEADA BAND.;8;1
3;912-1984979-BA;20236-CHULETA LOMO BASICO BAND.;4;1
3;912-1984979-BA;20236-CHULETA LOMO BASICO BAND.;12;2
4;951-1984979-BA;20672-LOMO ADOBADO 300 GR. SKIN;2;1
4;951-1984979-BA;20674-LOMO AJILLO 300 GR. SKIN;1;1
4;951-1984979-BA;20672-LOMO ADOBADO 300 GR. SKIN;2;3
5;951-1984979-BA;20672-LOMO ADOBADO 300 GR. SKIN;1;1
5;951-1984979-BA;20672-LOMO ADOBADO 300 GR. SKIN;3;2
5;951-1984979-BA;20673-LOMO ADOBADO SKIN 500 GR.;3;2
5;951-1984979-BA;20673-LOMO ADOBADO SKIN 500 GR.;1;3
6;912-1984979-BA;21044-CHULETA LOMO NATUR 450 GR. BAN;3;1
6;912-1984979-BA;20236-CHULETA LOMO BASICO BAND.;10;2
6;912-1984979-BA;21043-CHULETA AGUJA NATUR 450 GR. BA;2;2
6;912-1984979-BA;21044-CHULETA LOMO NATUR 450 GR. BAN;12;3
7;912-1984979-BA;12077-COSTILLA TROCEADA BAND.;12;1
7;912-1984979-BA;12077-COSTILLA TROCEADA BAND.;12;2
8;912-1984979-BA;20610-LOMO TROZO FILETEADO 1 KG. BAN;12;1
8;912-1984979-BA;20610-LOMO TROZO FILETEADO 1 KG. BAN;12;2
9;951-1984979-BA;20672-LOMO ADOBADO 300 GR. SKIN;14;2
9;951-1984979-BA;20673-LOMO ADOBADO SKIN 500 GR.;1;2
10;932-1984979-BA;11799-SOLOMILLO VACIO GENERICO;12;1
10;932-1984979-BA;11799-SOLOMILLO VACIO GENERICO;12;2
11;942-1984979-BA;40822-BURGUERMEAT MIXTA 400. BAND.;4;1
11;942-1984979-BA;40822-BURGUERMEAT MIXTA 400. BAND.;1;4
12;911-1984979-BA;11917-COSTILLA TROZO C.E. BAND.;3;1
12;911-1984979-BA;11996-FILETE LOMO FINO 300 NATUR BAN;7;1
12;911-1984979-BA;12071-LOMO EXTRAFINO 8/10 UN BAND.;4;1
12;911-1984979-BA;21140-LOMO LIBRITO BAND.;1;1
12;911-1984979-BA;11996-FILETE LOMO FINO 300 NATUR BAN;5;2
12;911-1984979-BA;12071-LOMO EXTRAFINO 8/10 UN BAND.;1;2
12;911-1984979-BA;21140-LOMO LIBRITO BAND.;3;2
13;972-1984979-BA;41406-PRESA IBERICA BAND.;1;1
13;972-1984979-BA;20514-LOMO IBERICO BAND.;1;2
13;972-1984979-BA;41406-PRESA IBERICA BAND.;1;3
14;912-1984979-BA;12077-COSTILLA TROCEADA BAND.;4;3
15;911-1984979-BA;12071-LOMO EXTRAFINO 8/10 UN BAND.;12;1
15;911-1984979-BA;20237-MANOS BAND.;3;1
15;911-1984979-BA;11996-FILETE LOMO FINO 300 NATUR BAN;11;2
15;911-1984979-BA;12071-LOMO EXTRAFINO 8/10 UN BAND.;6;2
16;951-1984979-BA;20673-LOMO ADOBADO SKIN 500 GR.;3;1
16;951-1984979-BA;20674-LOMO AJILLO 300 GR. SKIN;4;1
17;911-1984979-BA;11996-FILETE LOMO FINO 300 NATUR BAN;16;2
17;911-1984979-BA;21140-LOMO LIBRITO BAND.;1;2
19;912-1984979-BA;12077-COSTILLA TROCEADA BAND.;5;1
19;912-1984979-BA;21043-CHULETA AGUJA NATUR 450 GR. BA;7;1
19;912-1984979-BA;21043-CHULETA AGUJA NATUR 450 GR. BA;12;2
20;942-1984979-BA;40822-BURGUERMEAT MIXTA 400. BAND.;12;1
20;942-1984979-BA;12103-BURGUERMEAT VACUNO 800 GR.C.E.;2;2
20;942-1984979-BA;40822-BURGUERMEAT MIXTA 400. BAND.;9;2
20;942-1984979-BA;40822-BURGUERMEAT MIXTA 400. BAND.;7;3
20;942-1984979-BA;12103-BURGUERMEAT VACUNO 800 GR.C.E.;1;4
21;911-1984979-BA;12071-LOMO EXTRAFINO 8/10 UN BAND.;17;2
22;911-1984979-BA;20253-FILETE LOMO NATUR IND.400 BAND;2;1
