Simulation Summary							
PALETS PLATAFORMAS EROSKI							
0:00:20							
Container	Loaded	Vol. Effi.	Area Effi.	SKU	Loaded	Column #	Customer Product Code
PALET-001(311-1984761-DI)	64	96	100	21070-CHULETA DE LOMO 600 GR. BAND.	16	1	166707
PALET-001(311-1984761-DI)	64	96	100	21070-CHULETA DE LOMO 600 GR. BAND.	16	2	166707
PALET-001(311-1984761-DI)	64	96	100	21070-CHULETA DE LOMO 600 GR. BAND.	16	3	166707
PALET-001(311-1984761-DI)	64	96	100	21070-CHULETA DE LOMO 600 GR. BAND.	16	4	166707
PALET-002(311-1984761-DI)	36	91,45945946	100	21124-CHULETA DE AGUJA 600 GR. BAND.	9	1	166708
PALET-002(311-1984761-DI)	36	91,45945946	100	21124-CHULETA DE AGUJA 600 GR. BAND.	9	2	166708
PALET-002(311-1984761-DI)	36	91,45945946	100	21124-CHULETA DE AGUJA 600 GR. BAND.	9	3	166708
PALET-002(311-1984761-DI)	36	91,45945946	100	21124-CHULETA DE AGUJA 600 GR. BAND.	9	4	166708
PALET-003(311-1984761-DI)	30	62,68918919	0	21124-CHULETA DE AGUJA 600 GR. BAND.	6	1	166708
PALET-003(311-1984761-DI)	30	62,68918919	0	21124-CHULETA DE AGUJA 600 GR. BAND.	6	2	166708
PALET-003(311-1984761-DI)	30	62,68918919	0	21124-CHULETA DE AGUJA 600 GR. BAND.	5	3	166708
PALET-003(311-1984761-DI)	30	62,68918919	0	21070-CHULETA DE LOMO 600 GR. BAND.	13	4	166707
PALET-004(312-1984761-DI)	53	52,86441132	0	21091-ESCALOPE DE JAMON 500 GR. BAND	8	1	203604
PALET-004(312-1984761-DI)	53	52,86441132	0	21091-ESCALOPE DE JAMON 500 GR. BAND	8	2	203604
PALET-004(312-1984761-DI)	53	52,86441132	0	21091-ESCALOPE DE JAMON 500 GR. BAND	8	3	203604
PALET-004(312-1984761-DI)	53	52,86441132	0	21091-ESCALOPE DE JAMON 500 GR. BAND	8	4	203604
PALET-004(312-1984761-DI)	53	52,86441132	0	21091-ESCALOPE DE JAMON 500 GR. BAND	4	5	203604
PALET-004(312-1984761-DI)	53	52,86441132	0	21078-CARNE ESTOFADO CERDO 600 GR. B	6	6	77106
PALET-004(312-1984761-DI)	53	52,86441132	0	21100-COSTILLA TROCEADA 560 GR. BAND	6	7	77082
PALET-004(312-1984761-DI)	53	52,86441132	0	21267-CINTA DE LOMO 400 GR. BAND.	5	8	210871
PALET-005(331-1984761-DI)	27	40,5	0	20973-COSTILLA SEMICARNUDA TIRA VACI	7	1	134262
PALET-005(331-1984761-DI)	27	40,5	0	20973-COSTILLA SEMICARNUDA TIRA VACI	7	2	134262
PALET-005(331-1984761-DI)	27	40,5	0	20973-COSTILLA SEMICARNUDA TIRA VACI	7	3	134262
PALET-005(331-1984761-DI)	27	40,5	0	20973-COSTILLA SEMICARNUDA TIRA VACI	6	4	134262
PALET-006(332-1984761-DI)	24	23,93860135	0	20835-SOLOMILLO VACIO	4	1	11077
PALET-006(332-1984761-DI)	24	23,93860135	0	20835-SOLOMILLO VACIO	4	2	11077
PALET-006(332-1984761-DI)	24	23,93860135	0	20835-SOLOMILLO VACIO	2	3	11077
PALET-006(332-1984761-DI)	24	23,93860135	0	20836-CINTA LOMO TROZO VACIO	3	4	46810
PALET-006(332-1984761-DI)	24	23,93860135	0	20836-CINTA LOMO TROZO VACIO	3	5	46810
PALET-006(332-1984761-DI)	24	23,93860135	0	20836-CINTA LOMO TROZO VACIO	3	6	46810
PALET-006(332-1984761-DI)	24	23,93860135	0	20871-AGUJA S/H VACIO	4	7	173964
PALET-006(332-1984761-DI)	24	23,93860135	0	20850-SOLOMILLO 2 UNIDADES VACIO	1	8	173212
PALET-007(352-1984761-DI)	58	57,85161993	0	21277-LOMO SIEMPRE TIERNO 300 GR. BA	8	1	166223
PALET-007(352-1984761-DI)	58	57,85161993	0	21277-LOMO SIEMPRE TIERNO 300 GR. BA	8	2	166223
PALET-007(352-1984761-DI)	58	57,85161993	0	21277-LOMO SIEMPRE TIERNO 300 GR. BA	8	3	166223
PALET-007(352-1984761-DI)	58	57,85161993	0	20842-ESCALOPIN LOMO ADOB. 300 GR. B	7	4	164337
PALET-007(352-1984761-DI)	58	57,85161993	0	20842-ESCALOPIN LOMO ADOB. 300 GR. B	7	5	164337
PALET-007(352-1984761-DI)	58	57,85161993	0	20842-ESCALOPIN LOMO ADOB. 300 GR. B	7	6	164337
PALET-007(352-1984761-DI)	58	57,85161993	0	20842-ESCALOPIN LOMO ADOB. 300 GR. B	6	7	164337
PALET-007(352-1984761-DI)	58	57,85161993	0	21102-FILETE LOMO AJILLO 300 GR. BAN	7	8	162621
