k,i,j,BaldesDelItemEnColumnaDelPalet,c
1,"351-1984778-DI","20841-ESCALOPIN LOMO ADOB. EXT.TIERN",4,2
1,"351-1984778-DI","20841-ESCALOPIN LOMO ADOB. EXT.TIERN",17,3
1,"351-1984778-DI","20841-ESCALOPIN LOMO ADOB. EXT.TIERN",5,4
2,"352-1984778-DI","20842-ESCALOPIN LOMO ADOB. 300 GR. B",12,1
2,"352-1984778-DI","20842-ESCALOPIN LOMO ADOB. 300 GR. B",3,2
2,"352-1984778-DI","20842-ESCALOPIN LOMO ADOB. 300 GR. B",12,3
3,"331-1984778-DI","20973-COSTILLA SEMICARNUDA TIRA VACI",17,1
3,"331-1984778-DI","20973-COSTILLA SEMICARNUDA TIRA VACI",15,2
4,"312-1984778-DI","20831-FILETE DE PANCETA 560 GR. BAND",2,1
4,"312-1984778-DI","21100-COSTILLA TROCEADA 560 GR. BAND",10,1
4,"312-1984778-DI","20831-FILETE DE PANCETA 560 GR. BAND",10,2
4,"312-1984778-DI","21100-COSTILLA TROCEADA 560 GR. BAND",2,2
4,"312-1984778-DI","21100-COSTILLA TROCEADA 560 GR. BAND",6,3
5,"352-1984778-DI","21102-FILETE LOMO AJILLO 300 GR. BAN",12,1
5,"352-1984778-DI","21102-FILETE LOMO AJILLO 300 GR. BAN",7,2
5,"352-1984778-DI","21102-FILETE LOMO AJILLO 300 GR. BAN",2,4
6,"311-1984778-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",10,1
6,"311-1984778-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",10,2
6,"311-1984778-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",10,3
6,"311-1984778-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",2,4
7,"312-1984778-DI","21267-CINTA DE LOMO 400 GR. BAND.",12,1
7,"312-1984778-DI","21267-CINTA DE LOMO 400 GR. BAND.",12,2
7,"312-1984778-DI","21267-CINTA DE LOMO 400 GR. BAND.",7,3
8,"311-1984778-DI","21070-CHULETA DE LOMO 600 GR. BAND.",17,1
8,"311-1984778-DI","21070-CHULETA DE LOMO 600 GR. BAND.",15,3
9,"311-1984778-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",10,1
9,"311-1984778-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",10,2
9,"311-1984778-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",10,3
9,"311-1984778-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",2,4
10,"312-1984778-DI","20849-FILETE DE AGUJA 400 GR. BAND.",12,1
10,"312-1984778-DI","20849-FILETE DE AGUJA 400 GR. BAND.",12,2
10,"312-1984778-DI","20849-FILETE DE AGUJA 400 GR. BAND.",8,3
11,"331-1984778-DI","20973-COSTILLA SEMICARNUDA TIRA VACI",9,1
11,"331-1984778-DI","20973-COSTILLA SEMICARNUDA TIRA VACI",6,2
11,"331-1984778-DI","20973-COSTILLA SEMICARNUDA TIRA VACI",17,3
12,"312-1984778-DI","21078-CARNE ESTOFADO CERDO 600 GR. B",12,1
12,"312-1984778-DI","21078-CARNE ESTOFADO CERDO 600 GR. B",3,2
13,"332-1984778-DI","20871-AGUJA S/H VACIO",12,1
