k,i,j,BaldesDelItemEnColumnaDelPalet,c
1,"311-1984778-DI","21070-CHULETA DE LOMO 600 GR. BAND.",16,1
1,"311-1984778-DI","21070-CHULETA DE LOMO 600 GR. BAND.",16,2
1,"311-1984778-DI","21070-CHULETA DE LOMO 600 GR. BAND.",16,3
1,"311-1984778-DI","21070-CHULETA DE LOMO 600 GR. BAND.",16,4
2,"332-1984778-DI","20835-SOLOMILLO VACIO",1,1
2,"332-1984778-DI","20836-CINTA LOMO TROZO VACIO",11,1
2,"332-1984778-DI","20835-SOLOMILLO VACIO",12,2
2,"332-1984778-DI","20835-SOLOMILLO VACIO",11,3
2,"332-1984778-DI","20972-SECRETO VACIO",1,3
4,"352-1984778-DI","20842-ESCALOPIN LOMO ADOB. 300 GR. B",6,2
5,"352-1984778-DI","21277-LOMO SIEMPRE TIERNO 300 GR. BA",12,1
5,"352-1984778-DI","21277-LOMO SIEMPRE TIERNO 300 GR. BA",12,2
5,"352-1984778-DI","21277-LOMO SIEMPRE TIERNO 300 GR. BA",12,4
6,"312-1984778-DI","20831-FILETE DE PANCETA 560 GR. BAND",2,2
6,"312-1984778-DI","21078-CARNE ESTOFADO CERDO 600 GR. B",4,2
6,"312-1984778-DI","21267-CINTA DE LOMO 400 GR. BAND.",6,2
6,"312-1984778-DI","20831-FILETE DE PANCETA 560 GR. BAND",12,3
6,"312-1984778-DI","20831-FILETE DE PANCETA 560 GR. BAND",12,4
6,"312-1984778-DI","21078-CARNE ESTOFADO CERDO 600 GR. B",12,5
7,"351-1984778-DI","20841-ESCALOPIN LOMO ADOB. EXT.TIERN",13,2
7,"351-1984778-DI","20841-ESCALOPIN LOMO ADOB. EXT.TIERN",13,3
8,"332-1984778-DI","20871-AGUJA S/H VACIO",11,2
8,"332-1984778-DI","20850-SOLOMILLO 2 UNIDADES VACIO",1,3
10,"311-1984778-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",1,1
12,"352-1984778-DI","20842-ESCALOPIN LOMO ADOB. 300 GR. B",9,1
14,"311-1984778-DI","21070-CHULETA DE LOMO 600 GR. BAND.",16,1
14,"311-1984778-DI","21070-CHULETA DE LOMO 600 GR. BAND.",16,2
14,"311-1984778-DI","21070-CHULETA DE LOMO 600 GR. BAND.",16,3
14,"311-1984778-DI","21070-CHULETA DE LOMO 600 GR. BAND.",16,4
17,"312-1984778-DI","21100-COSTILLA TROCEADA 560 GR. BAND",6,1
17,"312-1984778-DI","21078-CARNE ESTOFADO CERDO 600 GR. B",3,2
17,"312-1984778-DI","21100-COSTILLA TROCEADA 560 GR. BAND",9,2
17,"312-1984778-DI","21100-COSTILLA TROCEADA 560 GR. BAND",12,4
18,"311-1984778-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",9,1
18,"311-1984778-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",9,2
18,"311-1984778-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",9,3
18,"311-1984778-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",9,4
19,"332-1984778-DI","20871-AGUJA S/H VACIO",1,1
20,"311-1984778-DI","21070-CHULETA DE LOMO 600 GR. BAND.",1,1
20,"311-1984778-DI","21070-CHULETA DE LOMO 600 GR. BAND.",8,2
20,"311-1984778-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",5,2
23,"352-1984778-DI","20842-ESCALOPIN LOMO ADOB. 300 GR. B",3,1
23,"352-1984778-DI","21102-FILETE LOMO AJILLO 300 GR. BAN",3,2
23,"352-1984778-DI","21102-FILETE LOMO AJILLO 300 GR. BAN",5,3
25,"311-1984778-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",9,1
25,"311-1984778-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",9,2
