k,i,j,BaldesDelItemEnColumnaDelPalet,c
1,"031-1984911-MA","12133-SECRETO CERDO VACIO",9,1
1,"031-1984911-MA","12133-SECRETO CERDO VACIO",9,2
1,"031-1984911-MA","12133-SECRETO CERDO VACIO",9,3
1,"031-1984911-MA","12133-SECRETO CERDO VACIO",9,4
3,"031-1984911-MA","11158-AGUJA CERDO S/H VACIO",1,1
3,"031-1984911-MA","14002-CODILLO VACIO",10,1
3,"031-1984911-MA","11158-AGUJA CERDO S/H VACIO",1,2
3,"031-1984911-MA","14011-TIRA COSTILLA AL VACIO",8,2
4,"031-1984911-MA","12133-SECRETO CERDO VACIO",9,1
4,"031-1984911-MA","12133-SECRETO CERDO VACIO",9,2
4,"031-1984911-MA","12133-SECRETO CERDO VACIO",9,3
4,"031-1984911-MA","12133-SECRETO CERDO VACIO",9,4
5,"031-1984911-MA","11552-MANOS VACIO",10,1
5,"031-1984911-MA","20773-FILETE JAMON CERDO VACIO",1,1
5,"031-1984911-MA","11347-COSTILLAR VACIO",5,2
5,"031-1984911-MA","14002-CODILLO VACIO",7,4
6,"031-1984911-MA","12133-SECRETO CERDO VACIO",1,1
6,"031-1984911-MA","20754-SOLOMILLO VACIO 2 UNIDADES",9,1
6,"031-1984911-MA","11164-PANCETA BACON CORTADA AL VACIO",7,2
6,"031-1984911-MA","14011-TIRA COSTILLA AL VACIO",3,2
6,"031-1984911-MA","11164-PANCETA BACON CORTADA AL VACIO",3,3
6,"031-1984911-MA","11347-COSTILLAR VACIO",2,3
6,"031-1984911-MA","14011-TIRA COSTILLA AL VACIO",5,3
6,"031-1984911-MA","11164-PANCETA BACON CORTADA AL VACIO",1,4
6,"031-1984911-MA","11347-COSTILLAR VACIO",4,4
6,"031-1984911-MA","12133-SECRETO CERDO VACIO",5,4
7,"031-1984911-MA","12133-SECRETO CERDO VACIO",9,1
7,"031-1984911-MA","12133-SECRETO CERDO VACIO",9,2
7,"031-1984911-MA","12133-SECRETO CERDO VACIO",9,3
7,"031-1984911-MA","12133-SECRETO CERDO VACIO",9,4
8,"031-1984911-MA","11164-PANCETA BACON CORTADA AL VACIO",4,1
8,"031-1984911-MA","11552-MANOS VACIO",5,1
8,"031-1984911-MA","14011-TIRA COSTILLA AL VACIO",1,1
8,"031-1984911-MA","20773-FILETE JAMON CERDO VACIO",1,1
8,"031-1984911-MA","10923-PALETA 3D S/H VACIO",1,2
8,"031-1984911-MA","14011-TIRA COSTILLA AL VACIO",7,2
8,"031-1984911-MA","20773-FILETE JAMON CERDO VACIO",1,2
8,"031-1984911-MA","11347-COSTILLAR VACIO",4,3
8,"031-1984911-MA","10923-PALETA 3D S/H VACIO",3,4
9,"011-1984911-MA","11690-OREJAS BAND.",6,1
9,"011-1984911-MA","11692-CHULETA AGUJA FAM. BAND.",3,1
10,"031-1984911-MA","10792-JAMON 3D S/H VACIO",1,1
10,"031-1984911-MA","11158-AGUJA CERDO S/H VACIO",2,1
10,"031-1984911-MA","11252-PANCETA BACON VACIO",1,1
10,"031-1984911-MA","14011-TIRA COSTILLA AL VACIO",5,1
10,"031-1984911-MA","11158-AGUJA CERDO S/H VACIO",9,2
10,"031-1984911-MA","11347-COSTILLAR VACIO",1,3
