Simulation Summary							
PALETS PLATAFORMA							
00:00:00							
Container	Loaded	Vol. Effi.	Area Effi.	SKU	Loaded	Column #	Customer Product Code
PALET-001(911-1984979-BA)	100.0	100.0	64.0	11996-FILETE LOMO FINO 300 NATUR BAN	16.0	1	999999
PALET-001(911-1984979-BA)	100.0	100.0	64.0	11996-FILETE LOMO FINO 300 NATUR BAN	16.0	2	999999
PALET-001(911-1984979-BA)	100.0	100.0	64.0	11996-FILETE LOMO FINO 300 NATUR BAN	16.0	3	999999
PALET-001(911-1984979-BA)	100.0	100.0	64.0	11996-FILETE LOMO FINO 300 NATUR BAN	16.0	4	999999
PALET-002(911-1984979-BA)	100.0	100.0	64.0	12071-LOMO EXTRAFINO 8/10 UN BAND.	16.0	1	999999
PALET-002(911-1984979-BA)	100.0	100.0	64.0	12071-LOMO EXTRAFINO 8/10 UN BAND.	16.0	2	999999
PALET-002(911-1984979-BA)	100.0	100.0	64.0	12071-LOMO EXTRAFINO 8/10 UN BAND.	16.0	3	999999
PALET-002(911-1984979-BA)	100.0	100.0	64.0	12071-LOMO EXTRAFINO 8/10 UN BAND.	16.0	4	999999
PALET-003(911-1984979-BA)	100.0	100.0	64.0	12071-LOMO EXTRAFINO 8/10 UN BAND.	16.0	1	999999
PALET-003(911-1984979-BA)	100.0	100.0	64.0	12071-LOMO EXTRAFINO 8/10 UN BAND.	16.0	2	999999
PALET-003(911-1984979-BA)	100.0	100.0	64.0	12071-LOMO EXTRAFINO 8/10 UN BAND.	16.0	3	999999
PALET-003(911-1984979-BA)	100.0	100.0	64.0	12071-LOMO EXTRAFINO 8/10 UN BAND.	16.0	4	999999
PALET-004(911-1984979-BA)	100.0	100.0	64.0	12071-LOMO EXTRAFINO 8/10 UN BAND.	16.0	1	999999
PALET-004(911-1984979-BA)	100.0	100.0	64.0	12071-LOMO EXTRAFINO 8/10 UN BAND.	16.0	2	999999
PALET-004(911-1984979-BA)	100.0	100.0	64.0	12071-LOMO EXTRAFINO 8/10 UN BAND.	16.0	3	999999
PALET-004(911-1984979-BA)	100.0	100.0	64.0	12071-LOMO EXTRAFINO 8/10 UN BAND.	16.0	4	999999
PALET-005(912-1984979-BA)	100.0	100.0	96.0	12077-COSTILLA TROCEADA BAND.	12.0	1	999999
PALET-005(912-1984979-BA)	100.0	100.0	96.0	12077-COSTILLA TROCEADA BAND.	12.0	2	999999
PALET-005(912-1984979-BA)	100.0	100.0	96.0	12077-COSTILLA TROCEADA BAND.	12.0	3	999999
PALET-005(912-1984979-BA)	100.0	100.0	96.0	12077-COSTILLA TROCEADA BAND.	12.0	4	999999
PALET-005(912-1984979-BA)	100.0	100.0	96.0	12077-COSTILLA TROCEADA BAND.	12.0	5	999999
PALET-005(912-1984979-BA)	100.0	100.0	96.0	12077-COSTILLA TROCEADA BAND.	12.0	6	999999
PALET-005(912-1984979-BA)	100.0	100.0	96.0	12077-COSTILLA TROCEADA BAND.	12.0	7	999999
PALET-005(912-1984979-BA)	100.0	100.0	96.0	12077-COSTILLA TROCEADA BAND.	12.0	8	999999
PALET-006(942-1984979-BA)	100.0	100.0	96.0	12102-BURGUERMEAT VACUNO 400 GR.BAND	12.0	1	999999
PALET-006(942-1984979-BA)	100.0	100.0	96.0	12102-BURGUERMEAT VACUNO 400 GR.BAND	12.0	2	999999
PALET-006(942-1984979-BA)	100.0	100.0	96.0	12102-BURGUERMEAT VACUNO 400 GR.BAND	12.0	3	999999
PALET-006(942-1984979-BA)	100.0	100.0	96.0	12102-BURGUERMEAT VACUNO 400 GR.BAND	12.0	4	999999
PALET-006(942-1984979-BA)	100.0	100.0	96.0	12102-BURGUERMEAT VACUNO 400 GR.BAND	12.0	5	999999
PALET-006(942-1984979-BA)	100.0	100.0	96.0	12102-BURGUERMEAT VACUNO 400 GR.BAND	12.0	6	999999
PALET-006(942-1984979-BA)	100.0	100.0	96.0	12102-BURGUERMEAT VACUNO 400 GR.BAND	12.0	7	999999
PALET-006(942-1984979-BA)	100.0	100.0	96.0	12102-BURGUERMEAT VACUNO 400 GR.BAND	12.0	8	999999
PALET-007(912-1984979-BA)	100.0	100.0	96.0	20236-CHULETA LOMO BASICO BAND.	12.0	1	999999
PALET-007(912-1984979-BA)	100.0	100.0	96.0	20236-CHULETA LOMO BASICO BAND.	12.0	2	999999
PALET-007(912-1984979-BA)	100.0	100.0	96.0	20236-CHULETA LOMO BASICO BAND.	12.0	3	999999
PALET-007(912-1984979-BA)	100.0	100.0	96.0	20236-CHULETA LOMO BASICO BAND.	12.0	4	999999
PALET-007(912-1984979-BA)	100.0	100.0	96.0	20236-CHULETA LOMO BASICO BAND.	12.0	5	999999
PALET-007(912-1984979-BA)	100.0	100.0	96.0	20236-CHULETA LOMO BASICO BAND.	12.0	6	999999
PALET-007(912-1984979-BA)	100.0	100.0	96.0	20236-CHULETA LOMO BASICO BAND.	12.0	7	999999
PALET-007(912-1984979-BA)	100.0	100.0	96.0	20236-CHULETA LOMO BASICO BAND.	12.0	8	999999
PALET-008(942-1984979-BA)	100.0	100.0	96.0	40822-BURGUERMEAT MIXTA 400. BAND.	12.0	1	999999
PALET-008(942-1984979-BA)	100.0	100.0	96.0	40822-BURGUERMEAT MIXTA 400. BAND.	12.0	2	999999
PALET-008(942-1984979-BA)	100.0	100.0	96.0	40822-BURGUERMEAT MIXTA 400. BAND.	12.0	3	999999
PALET-008(942-1984979-BA)	100.0	100.0	96.0	40822-BURGUERMEAT MIXTA 400. BAND.	12.0	4	999999
PALET-008(942-1984979-BA)	100.0	100.0	96.0	40822-BURGUERMEAT MIXTA 400. BAND.	12.0	5	999999
PALET-008(942-1984979-BA)	100.0	100.0	96.0	40822-BURGUERMEAT MIXTA 400. BAND.	12.0	6	999999
PALET-008(942-1984979-BA)	100.0	100.0	96.0	40822-BURGUERMEAT MIXTA 400. BAND.	12.0	7	999999
PALET-008(942-1984979-BA)	100.0	100.0	96.0	40822-BURGUERMEAT MIXTA 400. BAND.	12.0	8	999999
PALET-009(911-1984979-BA)	100.0	100.0	9.0	11996-FILETE LOMO FINO 300 NATUR BAN	6.0	1	999999
PALET-009(911-1984979-BA)	100.0	100.0	9.0	20237-MANOS BAND.	3.0	1	999999
PALET-010(911-1984979-BA)	100.0	100.0	15.0	11936-ESTOFADO C.E. 750 GR. BAND.	15.0	1	999999
PALET-011(951-1984979-BA)	100.0	100.0	8.0	20673-LOMO ADOBADO SKIN 500 GR.	8.0	4	999999
PALET-012(911-1984979-BA)	100.0	100.0	24.0	20253-FILETE LOMO NATUR IND.400 BAND	11.0	1	999999
PALET-012(911-1984979-BA)	100.0	100.0	24.0	20253-FILETE LOMO NATUR IND.400 BAND	2.0	2	999999
PALET-012(911-1984979-BA)	100.0	100.0	24.0	20253-FILETE LOMO NATUR IND.400 BAND	11.0	4	999999
PALET-013(911-1984979-BA)	100.0	100.0	8.0	20819-FILETE AGUJA NATUR 400 GR. BAN	8.0	1	999999
PALET-014(951-1984979-BA)	100.0	100.0	5.0	20674-LOMO AJILLO 300 GR. SKIN	5.0	1	999999
PALET-015(911-1984979-BA)	100.0	100.0	2.0	20511-CARETAS DE CERDO BAND.	2.0	3	999999
PALET-016(931-1984979-BA)	100.0	100.0	3.0	11094-LOMO FRESCO VACIO	3.0	2	999999
PALET-017(911-1984979-BA)	100.0	100.0	24.0	21140-LOMO LIBRITO BAND.	8.0	1	999999
PALET-017(911-1984979-BA)	100.0	100.0	24.0	21140-LOMO LIBRITO BAND.	16.0	4	999999
PALET-018(951-1984979-BA)	100.0	100.0	22.0	20672-LOMO ADOBADO 300 GR. SKIN	6.0	2	999999
