Simulation Summary							
PALETS PLATAFORMA							
00:00:00							
Container	Loaded	Vol. Effi.	Area Effi.	SKU	Loaded	Column #	Customer Product Code
PALET-001(031-1984911-MA)	100.0	100.0	36.0	12133-SECRETO CERDO VACIO	9.0	1	999999
PALET-001(031-1984911-MA)	100.0	100.0	36.0	12133-SECRETO CERDO VACIO	9.0	2	999999
PALET-001(031-1984911-MA)	100.0	100.0	36.0	12133-SECRETO CERDO VACIO	9.0	3	999999
PALET-001(031-1984911-MA)	100.0	100.0	36.0	12133-SECRETO CERDO VACIO	9.0	4	999999
PALET-002(031-1984911-MA)	100.0	100.0	42.0	11252-PANCETA BACON VACIO	1.0	1	999999
PALET-002(031-1984911-MA)	100.0	100.0	42.0	11552-MANOS VACIO	8.0	1	999999
PALET-002(011-1984911-MA)	100.0	100.0	42.0	11948-MANOS DE CERDO BAND.	2.0	1	999999
PALET-002(031-1984911-MA)	100.0	100.0	42.0	14011-TIRA COSTILLA AL VACIO	9.0	2	999999
PALET-002(031-1984911-MA)	100.0	100.0	42.0	11252-PANCETA BACON VACIO	1.0	3	999999
PALET-002(031-1984911-MA)	100.0	100.0	42.0	11552-MANOS VACIO	4.0	3	999999
PALET-002(011-1984911-MA)	100.0	100.0	42.0	11689-RABOS BAND.	1.0	3	999999
PALET-002(011-1984911-MA)	100.0	100.0	42.0	11694-CHULETA LOMO FAM. BAND.	2.0	3	999999
PALET-002(011-1984911-MA)	100.0	100.0	42.0	11945-PAPADAS S/CORTEZA BAND.	1.0	3	999999
PALET-002(011-1984911-MA)	100.0	100.0	42.0	11995-FILETE JAMON FAM. BAND.	1.0	3	999999
PALET-002(031-1984911-MA)	100.0	100.0	42.0	12133-SECRETO CERDO VACIO	1.0	3	999999
PALET-002(031-1984911-MA)	100.0	100.0	42.0	11347-COSTILLAR VACIO	3.0	4	999999
PALET-002(011-1984911-MA)	100.0	100.0	42.0	11692-CHULETA AGUJA FAM. BAND.	8.0	4	999999
PALET-003(031-1984911-MA)	100.0	100.0	36.0	12133-SECRETO CERDO VACIO	9.0	1	999999
PALET-003(031-1984911-MA)	100.0	100.0	36.0	12133-SECRETO CERDO VACIO	9.0	2	999999
PALET-003(031-1984911-MA)	100.0	100.0	36.0	12133-SECRETO CERDO VACIO	9.0	3	999999
PALET-003(031-1984911-MA)	100.0	100.0	36.0	12133-SECRETO CERDO VACIO	9.0	4	999999
PALET-004(031-1984911-MA)	100.0	100.0	40.0	11552-MANOS VACIO	6.0	1	999999
PALET-004(011-1984911-MA)	100.0	100.0	40.0	11694-CHULETA LOMO FAM. BAND.	5.0	1	999999
PALET-004(031-1984911-MA)	100.0	100.0	40.0	11164-PANCETA BACON CORTADA AL VACIO	1.0	2	999999
PALET-004(011-1984911-MA)	100.0	100.0	40.0	11689-RABOS BAND.	2.0	2	999999
PALET-004(011-1984911-MA)	100.0	100.0	40.0	11944-CARETAS DE CERDO BAND.	3.0	2	999999
PALET-004(011-1984911-MA)	100.0	100.0	40.0	11994-FILETE PANCETA FAM. BAND.	3.0	2	999999
PALET-004(011-1984911-MA)	100.0	100.0	40.0	12058-COSTILLA TROCEADA BAND.	1.0	2	999999
PALET-004(031-1984911-MA)	100.0	100.0	40.0	12133-SECRETO CERDO VACIO	1.0	2	999999
PALET-004(031-1984911-MA)	100.0	100.0	40.0	12133-SECRETO CERDO VACIO	9.0	3	999999
PALET-004(031-1984911-MA)	100.0	100.0	40.0	14011-TIRA COSTILLA AL VACIO	9.0	4	999999
PALET-005(031-1984911-MA)	100.0	100.0	36.0	12133-SECRETO CERDO VACIO	9.0	1	999999
PALET-005(031-1984911-MA)	100.0	100.0	36.0	12133-SECRETO CERDO VACIO	9.0	2	999999
PALET-005(031-1984911-MA)	100.0	100.0	36.0	12133-SECRETO CERDO VACIO	9.0	3	999999
PALET-005(031-1984911-MA)	100.0	100.0	36.0	12133-SECRETO CERDO VACIO	9.0	4	999999
PALET-006(031-1984911-MA)	100.0	100.0	40.0	11347-COSTILLAR VACIO	10.0	1	999999
PALET-006(031-1984911-MA)	100.0	100.0	40.0	14011-TIRA COSTILLA AL VACIO	1.0	1	999999
PALET-006(031-1984911-MA)	100.0	100.0	40.0	14011-TIRA COSTILLA AL VACIO	9.0	2	999999
PALET-006(011-1984911-MA)	100.0	100.0	40.0	11995-FILETE JAMON FAM. BAND.	2.0	3	999999
PALET-006(031-1984911-MA)	100.0	100.0	40.0	12133-SECRETO CERDO VACIO	5.0	3	999999
PALET-006(031-1984911-MA)	100.0	100.0	40.0	20754-SOLOMILLO VACIO 2 UNIDADES	1.0	3	999999
PALET-006(031-1984911-MA)	100.0	100.0	40.0	20773-FILETE JAMON CERDO VACIO	1.0	3	999999
PALET-006(011-1984911-MA)	100.0	100.0	40.0	20806-FILETE JAMON BAND.	1.0	3	999999
PALET-006(031-1984911-MA)	100.0	100.0	40.0	11158-AGUJA CERDO S/H VACIO	4.0	4	999999
PALET-006(031-1984911-MA)	100.0	100.0	40.0	11164-PANCETA BACON CORTADA AL VACIO	4.0	4	999999
PALET-006(011-1984911-MA)	100.0	100.0	40.0	11766-ESTOFADO (RAGUTT) FAM. BAND.	1.0	4	999999
PALET-006(031-1984911-MA)	100.0	100.0	40.0	14011-TIRA COSTILLA AL VACIO	1.0	4	999999
PALET-007(031-1984911-MA)	100.0	100.0	43.0	11252-PANCETA BACON VACIO	1.0	1	999999
PALET-007(031-1984911-MA)	100.0	100.0	43.0	14011-TIRA COSTILLA AL VACIO	5.0	1	999999
PALET-007(011-1984911-MA)	100.0	100.0	43.0	20132-TOCINO FRESCO BAND.	3.0	1	999999
PALET-007(031-1984911-MA)	100.0	100.0	43.0	20185-CENTRO CHULETERO VACIO S/SOL.	1.0	1	999999
PALET-007(031-1984911-MA)	100.0	100.0	43.0	11158-AGUJA CERDO S/H VACIO	1.0	2	999999
PALET-007(011-1984911-MA)	100.0	100.0	43.0	11690-OREJAS BAND.	6.0	2	999999
PALET-007(011-1984911-MA)	100.0	100.0	43.0	12058-COSTILLA TROCEADA BAND.	1.0	2	999999
PALET-007(031-1984911-MA)	100.0	100.0	43.0	20754-SOLOMILLO VACIO 2 UNIDADES	3.0	2	999999
PALET-007(031-1984911-MA)	100.0	100.0	43.0	12133-SECRETO CERDO VACIO	1.0	3	999999
PALET-007(031-1984911-MA)	100.0	100.0	43.0	14002-CODILLO VACIO	10.0	3	999999
PALET-007(031-1984911-MA)	100.0	100.0	43.0	10923-PALETA 3D S/H VACIO	5.0	4	999999
PALET-007(031-1984911-MA)	100.0	100.0	43.0	11165-ESTOFADO AL VACIO	3.0	4	999999
PALET-007(011-1984911-MA)	100.0	100.0	43.0	11693-FILETE LOMO FAM. BAND.	2.0	4	999999
PALET-007(031-1984911-MA)	100.0	100.0	43.0	12133-SECRETO CERDO VACIO	1.0	4	999999
PALET-008(031-1984911-MA)	100.0	100.0	42.0	11158-AGUJA CERDO S/H VACIO	9.0	1	999999
PALET-008(011-1984911-MA)	100.0	100.0	42.0	11694-CHULETA LOMO FAM. BAND.	10.0	2	999999
PALET-008(031-1984911-MA)	100.0	100.0	42.0	21301-PALETA RDA. S/MANO VACIO	1.0	2	999999
PALET-008(011-1984911-MA)	100.0	100.0	42.0	11947-RI¥ONES DE CERDO BAND.	1.0	3	999999
PALET-008(011-1984911-MA)	100.0	100.0	42.0	11994-FILETE PANCETA FAM. BAND.	6.0	3	999999
PALET-008(031-1984911-MA)	100.0	100.0	42.0	12133-SECRETO CERDO VACIO	1.0	3	999999
PALET-008(031-1984911-MA)	100.0	100.0	42.0	20773-FILETE JAMON CERDO VACIO	3.0	3	999999
PALET-008(031-1984911-MA)	100.0	100.0	42.0	14002-CODILLO VACIO	2.0	4	999999
PALET-008(031-1984911-MA)	100.0	100.0	42.0	14011-TIRA COSTILLA AL VACIO	1.0	4	999999
PALET-008(031-1984911-MA)	100.0	100.0	42.0	20754-SOLOMILLO VACIO 2 UNIDADES	8.0	4	999999
PALET-009(031-1984911-MA)	100.0	100.0	40.0	11163-LOMO CINTA CORTADA AL VACIO	1.0	1	999999
PALET-009(011-1984911-MA)	100.0	100.0	40.0	11692-CHULETA AGUJA FAM. BAND.	6.0	1	999999
PALET-009(031-1984911-MA)	100.0	100.0	40.0	12133-SECRETO CERDO VACIO	3.0	1	999999
PALET-009(031-1984911-MA)	100.0	100.0	40.0	11158-AGUJA CERDO S/H VACIO	1.0	2	999999
PALET-009(031-1984911-MA)	100.0	100.0	40.0	11164-PANCETA BACON CORTADA AL VACIO	10.0	2	999999
PALET-009(031-1984911-MA)	100.0	100.0	40.0	11083-SOLOMILLO CERDO VACIO (5 UN.)	1.0	3	999999
PALET-009(031-1984911-MA)	100.0	100.0	40.0	11158-AGUJA CERDO S/H VACIO	4.0	3	999999
PALET-009(031-1984911-MA)	100.0	100.0	40.0	14002-CODILLO VACIO	5.0	3	999999
PALET-009(031-1984911-MA)	100.0	100.0	40.0	11158-AGUJA CERDO S/H VACIO	9.0	4	999999
PALET-010(011-1984911-MA)	100.0	100.0	43.0	11994-FILETE PANCETA FAM. BAND.	4.0	1	999999
PALET-010(011-1984911-MA)	100.0	100.0	43.0	11995-FILETE JAMON FAM. BAND.	1.0	1	999999
PALET-010(031-1984911-MA)	100.0	100.0	43.0	12133-SECRETO CERDO VACIO	5.0	1	999999
PALET-010(031-1984911-MA)	100.0	100.0	43.0	11163-LOMO CINTA CORTADA AL VACIO	1.0	2	999999
PALET-010(031-1984911-MA)	100.0	100.0	43.0	11164-PANCETA BACON CORTADA AL VACIO	1.0	2	999999
PALET-010(031-1984911-MA)	100.0	100.0	43.0	11347-COSTILLAR VACIO	1.0	2	999999
PALET-010(011-1984911-MA)	100.0	100.0	43.0	11691-COSTILLA TIRA CERDO BAND.	3.0	2	999999
PALET-010(011-1984911-MA)	100.0	100.0	43.0	11949-FILETE AGUJA FAM. BAND.	2.0	2	999999
PALET-010(011-1984911-MA)	100.0	100.0	43.0	11993-COSTILLA CERDO BAND.	3.0	2	999999
PALET-010(031-1984911-MA)	100.0	100.0	43.0	11347-COSTILLAR VACIO	11.0	3	999999
PALET-010(031-1984911-MA)	100.0	100.0	43.0	10792-JAMON 3D S/H VACIO	1.0	4	999999
PALET-010(031-1984911-MA)	100.0	100.0	43.0	14014-CARRILLADA CERDO S/HUESO VACIO	9.0	4	999999
PALET-010(011-1984911-MA)	100.0	100.0	43.0	20906-ESPINAZOS DE CERDO BAND.	1.0	4	999999
PALET-011(031-1984911-MA)	100.0	100.0	36.0	12133-SECRETO CERDO VACIO	9.0	1	999999
PALET-011(031-1984911-MA)	100.0	100.0	36.0	12133-SECRETO CERDO VACIO	9.0	2	999999
PALET-011(031-1984911-MA)	100.0	100.0	36.0	12133-SECRETO CERDO VACIO	9.0	3	999999
